threshold,learning_rate,descent,mean_accuracy,std_accuracy
0.3,0.01,mini-batch,97.98,0.0
0.4,0.01,mini-batch,97.98,0.0
0.5,0.0001,stochastic,96.97,0.0
0.5,0.01,mini-batch,96.97,0.0
0.4,0.0001,stochastic,96.97,0.0
0.5,0.001,stochastic,96.97,0.0
0.3,0.001,stochastic,96.46,0.0
0.3,0.0001,stochastic,96.46,0.0
0.4,0.001,stochastic,96.46,0.0
0.6,0.001,stochastic,95.96,0.0
0.4,0.001,mini-batch,95.45,0.0
0.5,0.01,stochastic,95.45,0.0
0.6,0.01,mini-batch,95.45,0.0
0.4,0.01,stochastic,95.45,0.0
0.6,0.0001,stochastic,95.45,0.0
0.7,0.001,stochastic,95.45,0.0
0.7,0.01,batch,94.95,0.0
0.7,0.01,mini-batch,94.95,0.0
0.5,0.01,batch,94.95,0.0
0.3,0.001,mini-batch,94.95,0.0
0.3,0.01,batch,94.95,0.0
0.6,0.01,stochastic,94.44,0.0
0.7,0.01,stochastic,94.44,0.0
0.5,0.001,mini-batch,94.44,0.0
0.7,0.0001,stochastic,94.44,0.0
0.3,0.01,stochastic,93.94,0.0
0.6,0.01,batch,93.94,0.0
0.7,0.001,mini-batch,93.94,0.0
0.6,0.001,mini-batch,93.43,0.0
0.4,0.01,batch,93.43,0.0
0.6,0.0001,mini-batch,90.4,0.0
0.4,0.001,batch,89.39,0.0
0.4,0.0001,mini-batch,89.39,0.0
0.7,0.0001,mini-batch,88.38,0.0
0.6,0.0001,batch,87.37,0.0
0.7,0.0001,batch,87.37,0.0
0.6,0.001,batch,86.36,0.0
0.3,0.001,batch,86.36,0.0
0.7,0.001,batch,86.36,0.0
0.5,0.0001,batch,86.36,0.0
0.5,0.0001,mini-batch,85.86,0.0
0.4,0.0001,batch,85.86,0.0
0.5,0.001,batch,84.85,0.0
0.3,0.0001,mini-batch,84.34,0.0
0.3,0.0001,batch,81.31,0.0
